ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
20450006470000,39,19,20,36.8,"MULTIPOLYGON(((7.26262178077483 58.13594501212634,7.252898178371041 58.18044456715662,7.337153557239724 58.185560893900686,7.346773952203659 58.1410525268901,7.26262178077483 58.13594501212634)))"
20500006470000,167,79,88,38.9,"MULTIPOLYGON(((7.346773952203659 58.1410525268901,7.337153557239724 58.185560893900686,7.421437662409852 58.19062186954182,7.430954731641466 58.14610478339486,7.346773952203659 58.1410525268901)))"
20550006470000,70,37,33,43.3,"MULTIPOLYGON(((7.430954731641466 58.14610478339486,7.421437662409852 58.19062186954182,7.505750194747012 58.19562745524203,7.5151638211293 58.15110174294967,7.430954731641466 58.14610478339486)))"
20600006470000,627,327,300,40.8,"MULTIPOLYGON(((7.5151638211293 58.15110174294967,7.505750194747012 58.19562745524203,7.590090854465595 58.200577612564764,7.599400922061467 58.15604336726349,7.5151638211293 58.15110174294967)))"
20650006470000,70,34,36,43,"MULTIPOLYGON(((7.599400922061467 58.15604336726349,7.590090854465595 58.200577612564764,7.674459341134971 58.20547230347586,7.683665735191674 58.160929618446296,7.599400922061467 58.15604336726349)))"
20700006470000,70,35,35,47.9,"MULTIPOLYGON(((7.683665735191674 58.160929618446296,7.674459341134971 58.20547230347586,7.75885535368569 58.210311490344694,7.767957960639182 58.165760459010095,7.683665735191674 58.160929618446296)))"
20750006470000,1171,620,551,37.5,"MULTIPOLYGON(((7.767957960639182 58.165760459010095,7.75885535368569 58.210311490344694,7.843278590415763 58.2150951359451,7.852277297895037 58.17053585186994,7.767957960639182 58.165760459010095)))"
20800006470000,2326,1198,1128,37.4,"MULTIPOLYGON(((7.852277297895037 58.17053585186994,7.843278590415763 58.2150951359451,7.927728748996921 58.219823203456464,7.936623445828313 58.17525576034502,7.852277297895037 58.17053585186994)))"
20850006470000,967,495,472,37.9,"MULTIPOLYGON(((7.936623445828313 58.17525576034502,7.927728748996921 58.219823203456464,8.012205526480953 58.22449565646479,8.020996102692393 58.179920148159596,7.936623445828313 58.17525576034502)))"
20900006470000,6614,3338,3276,33.6,"MULTIPOLYGON(((8.020996102692393 58.179920148159596,8.012205526480953 58.22449565646479,8.09670861930605 58.22911245896363,8.105394966131287 58.18452897944407,8.020996102692393 58.179920148159596)))"
20950006470000,1151,589,562,38.5,"MULTIPOLYGON(((8.105394966131287 58.18452897944407,8.09670861930605 58.22911245896363,8.181237723303228 58.2336735753551,8.189819733185985 58.1890822187359,8.105394966131287 58.18452897944407)))"
21000006470000,237,131,106,39.6,"MULTIPOLYGON(((8.189819733185985 58.1890822187359,8.181237723303228 58.2336735753551,8.265792533702715 58.23817897045093,8.274270100300836 58.193579830980696,8.189819733185985 58.1890822187359)))"
21050006470000,687,362,325,36.8,"MULTIPOLYGON(((8.274270100300836 58.193579830980696,8.265792533702715 58.23817897045093,8.350372745140444 58.24262860947337,8.358745763329981 58.198021781533065,8.274270100300836 58.193579830980696)))"
21100006470000,2065,993,1072,40.5,"MULTIPOLYGON(((8.358745763329981 58.198021781533065,8.350372745140444 58.24262860947337,8.434978051664533 58.24702245805618,8.443246417543794 58.20240803615768,8.358745763329981 58.198021781533065)))"
20050006475000,43,24,19,40.4,"MULTIPOLYGON(((6.57992497067517 58.13752610564591,6.569348718512155 58.181950317458586,6.653466110617987 58.187517579849874,6.663939850447721 58.143083795240955,6.57992497067517 58.13752610564591)))"
20100006475000,60,24,36,42.7,"MULTIPOLYGON(((6.663939850447721 58.143083795240955,6.653466110617987 58.187517579849874,6.737614726164341 58.193029724332675,6.747985825424434 58.148586458755474,6.663939850447721 58.143083795240955)))"
20150006475000,123,60,63,38.7,"MULTIPOLYGON(((6.747985825424434 58.148586458755474,6.737614726164341 58.193029724332675,6.82179427030012 58.19848670873838,6.832062601898506 58.15403405417989,6.747985825424434 58.148586458755474)))"
20200006475000,28,16,12,50.1,"MULTIPOLYGON(((6.832062601898506 58.15403405417989,6.82179427030012 58.19848670873838,6.906004447470138 58.20388849129238,6.916169885463845 58.159426539897176,6.832062601898506 58.15403405417989)))"
20250006475000,40,24,16,41.2,"MULTIPOLYGON(((6.916169885463845 58.159426539897176,6.906004447470138 58.20388849129238,6.990244961421036 58.20923503061506,7.000307381020942 58.16476387468397,6.916169885463845 58.159426539897176)))"
20300006475000,236,126,110,35.8,"MULTIPOLYGON(((7.000307381020942 58.16476387468397,6.990244961421036 58.20923503061506,7.074515515207238 58.214526285723096,7.084474792782799 58.170046017711705,7.000307381020942 58.16476387468397)))"
20350006475000,141,69,72,35.9,"MULTIPOLYGON(((7.084474792782799 58.170046017711705,7.074515515207238 58.214526285723096,7.158815811196948 58.21976221603039,7.168671824280858 58.17527292854779,7.084474792782799 58.170046017711705)))"
20400006475000,16,6,10,37,"MULTIPOLYGON(((7.168671824280858 58.17527292854779,7.158815811196948 58.21976221603039,7.243145551078168 58.22494278134937,7.252898178371041 58.18044456715662,7.168671824280858 58.17527292854779)))"
20450006475000,30,15,15,38,"MULTIPOLYGON(((7.252898178371041 58.18044456715662,7.243145551078168 58.22494278134937,7.32750443586479 58.23006794189192,7.337153557239724 58.185560893900686,7.252898178371041 58.18044456715662)))"
20500006475000,232,121,111,39.1,"MULTIPOLYGON(((7.337153557239724 58.185560893900686,7.32750443586479 58.23006794189192,7.411892165902668 58.23513765827067,7.421437662409852 58.19062186954182,7.337153557239724 58.185560893900686)))"
20550006475000,65,31,34,44.6,"MULTIPOLYGON(((7.421437662409852 58.19062186954182,7.411892165902668 58.23513765827067,7.496308440875793 58.240151891499885,7.505750194747012 58.19562745524203,7.421437662409852 58.19062186954182)))"
20600006475000,425,223,202,41.7,"MULTIPOLYGON(((7.505750194747012 58.19562745524203,7.496308440875793 58.240151891499885,7.58075295981246 58.2451106029967,7.590090854465595 58.200577612564764,7.505750194747012 58.19562745524203)))"
20650006475000,80,38,42,46.5,"MULTIPOLYGON(((7.590090854465595 58.200577612564764,7.58075295981246 58.2451106029967,7.665225421091481 58.25001375458212,7.674459341134971 58.20547230347586,7.590090854465595 58.200577612564764)))"
20700006475000,65,37,28,36.5,"MULTIPOLYGON(((7.674459341134971 58.20547230347586,7.665225421091481 58.25001375458212,7.749725522448466 58.254861308482035,7.75885535368569 58.210311490344694,7.674459341134971 58.20547230347586)))"
20750006475000,181,93,88,40.4,"MULTIPOLYGON(((7.75885535368569 58.210311490344694,7.749725522448466 58.254861308482035,7.834252960982076 58.25965322732833,7.843278590415763 58.2150951359451,7.75885535368569 58.210311490344694)))"
20800006475000,930,495,435,38.3,"MULTIPOLYGON(((7.843278590415763 58.2150951359451,7.834252960982076 58.25965322732833,7.918807433160391 58.264389474159934,7.927728748996921 58.219823203456464,7.843278590415763 58.2150951359451)))"
20850006475000,6732,3442,3290,36.6,"MULTIPOLYGON(((7.927728748996921 58.219823203456464,7.918807433160391 58.264389474159934,8.003388634827237 58.269070012423796,8.012205526480953 58.22449565646479,7.927728748996921 58.219823203456464)))"
20900006475000,265,137,128,43.1,"MULTIPOLYGON(((8.012205526480953 58.22449565646479,8.003388634827237 58.269070012423796,8.08799626120861 58.27369480597588,8.09670861930605 58.22911245896363,8.012205526480953 58.22449565646479)))"
20950006475000,1112,575,537,37.4,"MULTIPOLYGON(((8.09670861930605 58.22911245896363,8.08799626120861 58.27369480597588,8.172630006919102 58.27826381908232,8.181237723303228 58.2336735753551,8.09670861930605 58.22911245896363)))"
